Category,Component / Description,Qty,Part Number / Link,Est. Price (USD)
PCB Fabrication,4-Layer Custom PCB (5 pcs) - JLCPCB,5,JLCPCB 4-Layer Spec,15.00
PCB Assembly,JLCPCB SMT Assembly Fee & Setup,1,JLCPCB Assembly Service,12.00
Shipping,JLCPCB Global Direct Shipping,1,JLCPCB Direct Line,16.00
SMD Components,ESP32-C6-MINI-1 Microcontroller Module,1,C5736265,3.20
SMD Components,AMS1117-3.3 Voltage Regulator,1,C6186,0.30
SMD Components,Type-C USB Connector (6P),1,C668623,0.40
SMD Components,AO3400A N-Channel MOSFET,1,C20917,0.20
SMD Passives,0603 Resistors & Capacitors Assortment,16,C177348 / C2906982 / C23179 / C1591,0.80
THT Components,SANYOU 5V Relay (SRD Series),1,C35449,0.70
THT Components,Screw Terminals & Pin Headers Set,8,C90087 / C395855 / C8270 / C3703 / C37208,3.40
THT Components,AM2302 (DHT22) Temp & Humidity Sensor,1,C83988,2.50
THT Components,LDR Photoresistor & 1N4001 Diode & 2N2222A Transistor,3,C10077 / C2456 / C118536 / C216288,1.00
External Modules,1.28 inch Round SPI Display (240x240 GC9A01),1,SPI Round LCD Display,8.50
External Modules,Water Level Float Switch Sensor,1,Horizontal Float Switch Sensor,5.50
External Modules,Buck Converter / Power Supply Module (LED),1,DC-DC Step-Down Module,6.50
External Modules,Buck Converter / Power Supply Module (Pump),1,DC-DC Step-Down Module,6.50
External Modules,USB to TTL Serial Debugging Module,1,CP2102 / FT232 USB-TTL Module,5.50
External Modules,Capacitive Soil Moisture Sensor v1.2,1,Capacitive Moisture Sensor,4.50
Hardware / Peripherals,5V Submersible Mini Water Pump,1,5V DC Water Pump,6.50
Hardware / Peripherals,Silicone Flexible Tubing (2 meters),2m,8mm OD / 6mm ID Tubing,5.00
Hardware / Peripherals,High Power 3W Red LED Emitter,1,3W Red LED Component,3.50
Hardware / Peripherals,High Power 3W Blue LED Emitter,1,3W Blue LED Component,3.50
Hardware / Peripherals,Thermal Adhesive Tape for Heatsink,1,Thermal Conductive Tape,4.50
Hardware / Peripherals,Plant Pot / Enclosure Base,1,Planter Pot Enclosure,13.20
